BREITE;LAENGE;UNDULATION;EPSG_2D;EPSG_1D
46.6500000;13.2500000;1.428;4312;5778
46.6500000;13.2916667;1.386;4312;5778
46.6500000;13.3333333;1.354;4312;5778
46.6500000;13.3750000;1.366;4312;5778
46.6500000;13.4166667;1.379;4312;5778
46.6500000;13.4583333;1.373;4312;5778
46.6500000;13.5000000;1.359;4312;5778
46.6500000;13.5416667;1.337;4312;5778
46.6500000;13.5833333;1.312;4312;5778
46.6500000;13.6250000;1.282;4312;5778
46.6500000;13.6666667;1.247;4312;5778
46.6500000;13.7083333;1.220;4312;5778
46.6500000;13.7500000;1.175;4312;5778
46.6500000;13.7916667;1.148;4312;5778
46.6500000;13.8333333;1.140;4312;5778
46.6500000;13.8750000;1.114;4312;5778
46.6500000;13.9166667;1.101;4312;5778
46.6500000;13.9583333;1.083;4312;5778
46.6500000;14.0000000;1.066;4312;5778
46.6500000;14.0416667;1.033;4312;5778
46.6500000;14.0833333;0.988;4312;5778
46.6500000;14.1250000;0.939;4312;5778
46.6500000;14.1666667;0.894;4312;5778
46.6500000;14.2083333;0.861;4312;5778
46.6500000;14.2500000;0.826;4312;5778
46.6500000;14.2916667;0.799;4312;5778
46.6500000;14.3333333;0.785;4312;5778
46.6500000;14.3750000;0.789;4312;5778
46.6500000;14.4166667;0.808;4312;5778
46.6500000;14.4583333;0.835;4312;5778
46.6500000;14.5000000;0.870;4312;5778
46.6500000;14.5416667;0.902;4312;5778
46.6500000;14.5833333;0.918;4312;5778
46.6500000;14.6250000;0.925;4312;5778
46.6500000;14.6666667;0.941;4312;5778
46.6500000;14.7083333;0.959;4312;5778
46.6500000;14.7500000;0.969;4312;5778
46.6500000;14.7916667;0.989;4312;5778
46.6500000;14.8333333;1.010;4312;5778
46.6500000;14.8750000;1.043;4312;5778
46.6500000;14.9166667;1.082;4312;5778
46.6500000;14.9583333;1.173;4312;5778
46.6500000;15.0000000;1.328;4312;5778
46.6500000;15.0416667;1.397;4312;5778
46.6500000;15.0833333;1.372;4312;5778
46.6500000;15.1250000;1.300;4312;5778
46.6500000;15.1666667;1.235;4312;5778
46.6500000;15.2083333;1.143;4312;5778
46.6500000;15.2500000;1.100;4312;5778
46.6500000;15.2916667;1.065;4312;5778
46.6500000;15.3333333;1.024;4312;5778
46.6500000;15.3750000;0.991;4312;5778
46.6500000;15.4166667;0.947;4312;5778
46.6500000;15.4583333;0.892;4312;5778
46.6500000;15.5000000;0.833;4312;5778
46.6500000;15.5416667;0.761;4312;5778
46.6500000;15.5833333;0.682;4312;5778
46.6500000;15.6250000;0.596;4312;5778
46.6500000;15.6666667;0.513;4312;5778
46.6500000;15.7083333;0.440;4312;5778
46.6500000;15.7500000;0.374;4312;5778
46.6500000;15.7916667;0.311;4312;5778
46.6500000;15.8333333;0.248;4312;5778
46.6500000;15.8750000;0.187;4312;5778
46.6500000;15.9166667;0.134;4312;5778
46.6500000;15.9583333;0.094;4312;5778
46.6500000;16.0000000;0.041;4312;5778
46.6500000;16.0416667;-0.009;4312;5778
46.6500000;16.0833333;-0.056;4312;5778
46.6500000;16.1250000;-0.110;4312;5778
46.6750000;12.3333333;3.238;4312;5778
46.6750000;12.3750000;3.207;4312;5778
46.6750000;12.4166667;3.188;4312;5778
46.6750000;12.4583333;3.160;4312;5778
46.6750000;12.5000000;3.117;4312;5778
46.6750000;12.5416667;3.062;4312;5778
46.6750000;12.5833333;2.987;4312;5778
